N;;;X;Y;HIERNODE;SLABEL;LLABEL;SUB_TYPE;OLD_NODE
658;4649;738;424649;564654;0;;;0;9327
659;4586;603;424586;564519;0;;;0;9328
660;4646;729;424646;564645;0;;;0;9329
661;4580;595;424580;564511;0;;;0;9330
662;4554;531;424554;564447;0;;;0;9331
663;4581;593;424581;564509;0;;;0;9332
664;4557;532;424557;564448;0;;;0;9333
665;4549;525;424549;564441;0;;;0;9334
666;4435;483;424435;564399;0;;;0;9335
667;4546;526;424546;564442;0;;;0;9336
668;4436;485;424436;564401;0;;;0;9337
669;4426;482;424426;564398;0;;;0;9338
670;4337;479;424337;564395;0;;;0;9339
671;4428;481;424428;564397;0;;;0;9340
672;4337;478;424337;564394;0;;;0;9341
673;4333;480;424333;564396;0;;;0;9342
674;4268;539;424268;564455;0;;;0;9343
675;4266;539;424266;564455;0;;;0;9344
676;4333;479;424333;564395;0;;;0;9345
677;4262;543;424262;564459;0;;;0;9346
678;4141;638;424141;564554;0;;;0;9347
679;4142;638;424142;564554;0;;;0;9348
680;4262;544;424262;564460;0;;;0;9349
681;4141;638;424141;564554;0;;;0;9350
682;4009;708;424009;564624;0;;;0;9351
683;4805;981;424805;564897;0;;;0;9352
684;4852;945;424852;564861;0;;;0;9353
685;4805;979;424805;564895;0;;;0;9354
686;4850;944;424850;564860;0;;;0;9355
687;4944;958;424944;564874;0;;;0;9356
688;4857;944;424857;564860;0;;;0;9357
689;4857;944;424857;564860;0;;;0;9358
690;4943;958;424943;564874;0;;;0;9359
691;4947;956;424947;564872;0;;;0;9360
692;4948;956;424948;564872;0;;;0;9361
693;4981;853;424981;564769;0;;;0;9362
694;4983;852;424983;564768;0;;;0;9363
695;5036;721;425036;564637;0;;;0;9364
696;5039;711;425039;564627;0;;;0;9365
697;5130;598;425130;564514;0;;;0;9366
698;5038;708;425038;564624;0;;;0;9367
699;5129;598;425129;564514;0;;;0;9368
700;5133;593;425133;564509;0;;;0;9369
701;5135;593;425135;564509;0;;;0;9370
702;5166;522;425166;564438;0;;;0;9371
703;5156;513;425156;564429;0;;;0;9372
704;4976;440;424976;564356;0;;;0;9373
705;5159;512;425159;564428;0;;;0;9374
706;4975;437;424975;564353;0;;;0;9375
707;4970;443;424970;564359;0;;;0;9376
708;4926;555;424926;564471;0;;;0;9377
709;4928;555;424928;564471;0;;;0;9378
710;4934;563;424934;564479;0;;;0;9379
711;5120;597;425120;564513;0;;;0;9380
712;5124;595;425124;564511;0;;;0;9381
713;4931;559;424931;564475;0;;;0;9382
714;4952;960;424952;564876;0;;;0;9383
715;5029;979;425029;564895;0;;;0;9384
716;4953;963;424953;564879;0;;;0;9385
717;5024;982;425024;564898;0;;;0;9386
718;5040;983;425040;564899;0;;;0;9387
719;5041;985;425041;564901;0;;;0;9388
720;5082;1011;425082;564927;0;;;0;9389
721;5084;1013;425084;564929;0;;;0;9390
722;5131;1210;425131;565126;0;;;0;9391
723;5129;1209;425129;565125;0;;;0;9392
724;5147;1218;425147;565134;0;;;0;9393
725;5470;1295;425470;565211;0;;;0;9394
726;5151;1224;425151;565140;0;;;0;9395
727;5463;1298;425463;565214;0;;;0;9396
728;5395;1267;425395;565183;0;;;0;9397
729;5329;634;425329;564550;0;;;3;9407
730;5331;634;425331;564550;0;;;3;9408
731;5343;574;425343;564490;0;;;3;9410
732;5343;573;425343;564489;0;;;3;9412
733;4388;147;424388;564063;0;;;3;9446
734;4387;145;424387;564061;0;;;3;9448
735;4469;102;424469;564018;0;;;3;9450
736;4473;105;424473;564021;0;;;3;9451
737;4643;302;424643;564218;0;;;0;9453
738;4706;269;424706;564185;0;;;0;9454
739;4643;300;424643;564216;0;;;0;9455
740;4704;269;424704;564185;0;;;0;9456
